,,,,,, ,,Language,Q1_0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q9,Q10,Q10_other,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13,Q13_other,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q19,Q20,Q21,Q22,Q23,Q24,Q24_other,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q28,Q29,Q30_0,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q30_15,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_11,Q33_1,Q33_2,Q33_3,Q33_4,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q37,Q38_1,Q38_2,Q38_3,Q39,Q40_0,Q40_1,Q40_2,Q40_3,Q40_4,Q41,Q43,Q44,Q45,Q46,Q47,Q48,Q48_other,Q49_0,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q50_0,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q51,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q52_6,Q52_7,Q52_8,Q52_9,Q52_10,Q52_11,Q52_12,Q52_13,Q52_14,Q52_15,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q53_8,Q53_9,Q53_10,Q53_11,Q53_12,Q53_13,Q53_14,Q53_15,Q54,Q55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,01:48,118066624401,446360289,2022-06-29 12:20:37,2022-06-29 12:22:25,,0,en,,1,2,3,,,,1,1,4,4,4,4,1,1,1,1,1,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,52:02,118066575867,446360289,2022-06-29 11:16:12,2022-06-29 12:08:14,,0,en,,1,2,3,4,5,,7,1,4,4,4,4,3,4,4,1,1,2,1,1,1,2,3,,2,,,5,,,,,,,,,5,4,,3,6,6,6,6,1,,8,,1,3,,,,4,,,,8,,,,,13,,,,2,3,4,5,6,7,8,9,,11,,,14,,1,,3,,,,,,,10,,3,1,The program has changed executive perceptions of open source software and its value for the organization. The office has made adoption of open source software easier for engineers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,1,5,1,6,6,5,2,3,1,6,2,4,3,2,2,6,2,2,1,1,1,Open governance of open source project (e.g. code and trademarks owned by a foundation like ASF). Community viability. Ability to host binaries and dependencies in our own binary repository and MITM proxy support for developer tooling.,0,,,,,1,4,4,1,5,5,4,,,1,,,,,,1,,3,,,2,,,,,,,,,,,,,,,,1,,3,4,,,,,,,,,,14,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,25:20,118066579604,446360289,2022-06-29 11:25:19,2022-06-29 11:50:39,,0,en,,1,,,,,,4,1,2,4,4,2,2,1,1,1,1,1,3,3,3,1,,,,,,,,,,9,,,,,6,7,,3,2,6,2,6,6,,9,,3,4,,,3,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,2,1,"I'm not sure the OSPO at our company even really qualifies as an OSPO. It's an Open Source License Checking Office, mostly. How they work is the developer of a project that uses open source components MUST go seek approval from this office before publishing anything, and they just check and enforce license compliance. We're a BIG company and we're very sensitive to lawsuits since we're such a big target.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,2,6,1,6,6,3,6,6,2,2,2,4,6,6,6,6,6,5,2,2,1,,,1,2,,,1,8,6,5,2,5,1,,,1,,,4,,,1,,,4,,2,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,14,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,07:26,118066593019,446481491,2022-06-29 11:40:23,2022-06-29 11:47:49,,0,en,,,2,3,,,,3,3,3,3,2,3,4,3,2,2,1,2,2,3,2,1,,,2,,,,6,,,,,,,,3,4,,1,3,2,4,4,3,,3,,2,2,,2,,,5,,,,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,,7,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,4,2,4,4,4,3,4,3,4,3,4,3,4,3,4,3,3,1,2,1,,,,2,,,1,3,3,3,3,1,2,,,,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,04:44,118066576653,446481491,2022-06-29 11:21:15,2022-06-29 11:25:59,,0,en,,1,2,,4,,,7,3,2,4,4,2,3,2,2,1,2,1,1,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,08:15,118066553222,446321998,2022-06-29 10:53:43,2022-06-29 11:01:58,,0,zh-tw,,1,,,,,,5,2,2,4,1,2,2,2,2,1,1,2,2,2,2,2,,,2,,,,6,7,,,,,,,4,4,,3,1,2,1,1,1,,9,,3,1,1,,,,5,,7,,,,,,,,,,,3,4,,,,,,,,,,,,,,,4,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,1,2,3,1,2,3,2,1,2,2,3,2,2,3,3,3,2,2,2,,,,2,,,2,2,2,5,1,4,6,,,1,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,17:45,118066538585,446360289,2022-06-29 10:35:50,2022-06-29 10:53:35,,0,en,,1,2,3,4,5,,3,7,3,4,1,3,4,4,2,3,1,1,1,1,3,2,3,,2,,,,,,,,,,,Academic organization providing students with software development experience using Open Source,3,0,Department of Computer Science,3,2,2,1,1,2,,6,,3,4,1,,,,,,7,8,,10,,,,,,,,3,4,5,,,,,,,,,,,,,,,5,6,,,,,,3,1,Some of our home grown projects have been adopted as campus wide solutions Our students get job offers related to their open-source activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,3,3,1,3,2,3,6,4,3,3,3,3,3,4,4,4,5,2,3,1,1,,0,,,,,1,6,4,3,1,4,4,,,,,,4,,,,,,4,,1,,,,,,,,,,,,,,,,1,2,,,5,,,,9,,,,,14,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,08:20,118066539098,446360289,2022-06-29 10:36:00,2022-06-29 10:44:20,,0,en,,1,2,3,4,5,,7,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,1,2,3,,,6,,,9,,,,,5,4,,1,5,3,3,3,5,,6,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,04:37,118066539191,446360289,2022-06-29 10:36:48,2022-06-29 10:41:25,,0,en,,1,,,,,,3,5,2,4,4,4,1,1,3,1,3,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,3,,5,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,01:15,118066538700,446360289,2022-06-29 10:36:13,2022-06-29 10:37:28,,0,en,,,,3,,,,6,1,4,4,3,3,3,4,4,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,08:31,118066506779,446360289,2022-06-29 10:00:17,2022-06-29 10:08:48,,0,en,,1,,,,,,3,2,2,4,3,1,1,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,,,2,,,5,,,8,9,,11,,13,14,,1,,,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,3,3,5,1,6,3,3,6,3,2,2,3,3,2,2,2,6,6,6,3,3,3,,0,,,,,2,1,1,3,2,4,9,,,,,,,5,,,2,3,,,1,,,3,,,3,,,3,,,3,,,3,,,,,5,,7,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,34:11,118066483765,446360289,2022-06-29 09:33:52,2022-06-29 10:08:03,,0,en,,1,2,,,,,2,2,3,3,4,2,2,2,2,1,1,1,1,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,2,,,5,,,,,,,12,,,,,,,,,,,,,,2,6,6,2,4,2,6,6,6,6,6,2,2,3,5,6,6,6,6,6,3,3,1,1,,0,,,,,2,2,1,3,3,5,9,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,09:24,118066504252,446360289,2022-06-29 09:57:24,2022-06-29 10:06:48,,0,en,,1,,,,,,4,1,1,3,1,1,1,1,1,1,3,2,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,7,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,7,5,9,,0,,,,,,,1,2,3,,,0,,2,,,,,,,,,,,,2,,,,3,,5,6,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,16:23,118066476056,446360289,2022-06-29 09:23:52,2022-06-29 09:40:15,,0,en,,1,,,,,,2,2,2,4,4,4,2,1,1,2,1,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,1,,,,,,4,,,,,,,11,,13,,,,,,,,,,,,,2,2,1,5,2,1,3,2,2,5,3,2,1,3,2,5,4,3,3,2,4,3,1,3,"Always select from opensource ecosystem, partners and products/services",,1,,,,2,1,3,2,2,5,9,,,,,3,4,,,,,,4,,4,1,,,1,,,1,,,1,,,1,,,1,,,4,5,6,7,,,,,,13,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,09:18,118066466394,446360289,2022-06-29 09:12:00,2022-06-29 09:21:18,,0,en,,1,,3,,,,2,2,2,4,4,4,3,5,3,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,3,,,,,8,,,,,,,,,2,,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,03:21,118066451832,446360289,2022-06-29 08:54:06,2022-06-29 08:57:27,,0,en,,1,,,,,,5,2,5,4,5,5,3,5,3,3,1,2,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,04:42,118066443080,446360289,2022-06-29 08:43:28,2022-06-29 08:48:10,,0,en,,1,,3,,,,2,2,1,4,4,1,1,1,1,1,3,3,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,8,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,5,10,,,,,,,5,,,,,,5,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,14,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,01:38,118066444897,446360289,2022-06-29 08:45:49,2022-06-29 08:47:27,,0,en,,1,,,,,,4,1,2,4,4,1,2,2,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,04:47,118066439998,446360289,2022-06-29 08:39:31,2022-06-29 08:44:18,,0,en,,1,,,,,,5,1,2,4,4,1,1,1,3,2,1,2,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,8,9,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,5,5,10,,0,,,,,,,,,3,,,0,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,14,,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,22:01,118066424390,446360289,2022-06-29 08:19:19,2022-06-29 08:41:20,,0,en,,1,2,3,4,5,,1,1,4,4,4,2,4,4,3,2,2,1,2,1,2,2,,1,,,4,,,,,,,11,,,3,2,,3,3,1,1,2,3,,7,,3,2,,,,,,6,,8,,10,,12,,,,,,,4,,6,,,9,,,,13,,,,,,4,,6,,,,,,2,1,"Through accessing open source resources, we have increased the complexity and usefulness of our newer blockchain applications. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,1,1,1,2,1,3,6,3,2,3,3,2,1,3,1,6,3,2,1,1,1,"There are many competing vendors in terms of hosting and deployment, so price and ease of use are the biggest considerations.",,1,,,,1,4,2,3,5,3,1,,,,,,4,,,,,,4,,3,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,,14,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,39:26,118066423485,446360289,2022-06-29 07:43:45,2022-06-29 08:23:11,,0,en,,1,,,,,,3,2,3,3,4,1,1,3,3,1,1,1,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,,,,,,,6,,,,,,,13,,,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,3,3,3,6,3,6,6,3,3,3,3,3,1,1,1,6,6,4,2,2,2,,,,2,,,2,2,1,7,1,4,10,,,,,3,,,,,,3,,,2,,,,,,,,,,,,,,,,,,3,4,5,6,,8,,,11,12,13,14,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,44:37,118065677604,446360289,2022-06-28 13:33:39,2022-06-29 08:18:16,,0,en,,1,2,,,,,4,1,3,4,4,2,2,3,3,1,1,1,1,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,01:39,118066420782,446392333,2022-06-29 08:14:58,2022-06-29 08:16:37,,0,zh-tw,,,,,4,,,2,2,4,4,4,4,3,4,3,3,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,07:12,118066406026,446360289,2022-06-29 07:53:58,2022-06-29 08:01:10,,0,en,,1,,,,,,3,2,1,4,1,1,1,1,1,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,7,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,1,4,9,,,,,,4,,,,,3,,,2,1,,,1,,,,,3,,,3,1,,,,,,,,6,,8,,,,,13,14,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,10:35,118066400498,446360289,2022-06-29 07:45:07,2022-06-29 07:55:42,,0,en,,1,,,,,,3,2,1,2,4,1,1,1,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,5,5,5,10,,,,,,,5,,,,,4,,1,,,,,,,,,,,,,,,,1,,3,,5,6,,8,,,,,13,14,,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,36:48,118066383755,446360289,2022-06-29 07:17:52,2022-06-29 07:54:40,,0,en,,1,,,,,,5,5,2,4,4,2,1,2,1,1,1,2,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,4,,,,,,,,12,13,,,,,,,,,,,,,1,3,1,2,2,1,3,3,2,3,3,2,2,1,2,2,2,3,3,3,4,2,2,3,,0,,,,,2,1,1,4,5,4,5,,,,,,4,,,,,,4,,1,1,,,,2,,,2,,1,,,,2,,,,3,4,5,6,7,8,9,,11,,13,,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,06:06,118066397458,446360289,2022-06-29 07:40:27,2022-06-29 07:46:33,,0,en,,1,,3,4,,,5,2,4,3,4,4,3,3,3,3,3,3,3,3,3,2,,1,,3,,,,,,,10,,,,1,2,,4,3,3,6,3,6,,9,,3,5,,,,,5,,,,,,,12,,,,1,,,,5,,7,,,,,,,,,1,,,,5,,7,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,08:30,118066392116,446360289,2022-06-29 07:32:01,2022-06-29 07:40:31,,0,en,,1,2,,,,,2,5,1,3,4,1,1,1,1,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,7,,,,,1,,,,,,4,,,,,,,,12,13,,,,,,,,,,,,,2,6,6,2,6,6,6,6,2,6,6,1,6,3,1,4,4,4,4,4,3,3,3,3,,0,,,,,2,2,1,7,7,4,10,,,,,,,5,,1,,,,,0,,,,,,,,,,,,,,,,1,,,4,,,7,,,,,,,14,,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,11:08,118066391309,446321998,2022-06-29 07:27:59,2022-06-29 07:39:07,,0,ja,,1,,,,,,4,1,1,3,3,3,2,1,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,1,5,9,,,,,,4,,,,,,4,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,14,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
